id,GLOBAL_SCORE
EK202310003556,124
EK202310170625,132
EK202310167359,124
EK202310118370,124
EK202320006361,124
EK202310003542,124
EK202310125266,124
EK202310144740,124
EK202310137443,124
EK202310159067,124
EK202310245067,124
EK202310240556,124
EK202310166743,124
EK202310247454,124
EK202310215702,124
EK202310142190,124
EK202310205417,124
EK202310119601,124
EK202310190356,124
EK202310158758,124
EK202310145496,124
EK202310164763,124
EK202310200188,124
EK202310238803,124
EK202320005607,124
EK202310225681,124
EK202310127174,124
EK202310204317,132
EK202310179355,124
EK202310176524,124
EK202310237228,124
EK202310172549,124
EK202310168863,124
EK202310185904,124
EK202310133615,128
EK202310122063,124
EK202310121770,124
EK202310125590,124
EK202310172269,124
EK202310147894,124
EK202310137986,124
EK202310150838,124
EK202310104915,124
EK202310170090,124
EK202310165637,124
EK202310134467,124
EK202310182637,124
EK202310112116,124
EK202310241220,124
EK202310103801,124
EK202310177448,124
EK202310157860,124
EK202310211985,124
EK202310232907,124
EK202310162917,132
EK202310211786,124
EK202310132171,124
EK202310153694,124
EK202310174960,124
EK202310121096,124
EK202310222475,124
EK202310146254,124
EK202310111466,124
EK202310004385,124
EK202310108961,124
EK202310203170,124
EK202310161424,124
EK202310206583,128
EK202310138840,124
EK202310221976,124
EK202310143972,124
EK202310175420,124
EK202310227655,124
EK202310163389,124
EK202310239480,124
EK202310146467,124
EK202310162597,124
EK202310194862,124
EK202310152448,124
EK202310245431,124
EK202310206822,124
EK202310166559,124
EK202310221701,124
EK202310231403,124
EK202310156027,124
EK202310135956,124
EK202310183176,124
EK202310206055,124
EK202310167360,124
EK202310142701,124
EK202310156629,124
EK202310241352,124
EK202310123587,124
EK202310003639,124
EK202310158269,124
EK202320007090,124
EK202310111707,124
EK202310104096,147
EK202310235404,124
EK202310108783,124
EK202310116298,124
EK202310156281,124
EK202310164483,124
EK202310108212,124
EK202310233950,124
EK202310157041,124
EK202310104522,124
EK202310175972,124
EK202310225965,124
EK202310138403,132
EK202310234452,124
EK202310104614,124
EK202310117970,124
EK202310128727,124
EK202310190230,124
EK202310201465,124
EK202310197534,124
EK202310171846,124
EK202310193751,124
EK202310242967,124
EK202310112852,128
EK202310132804,124
EK202310127612,124
EK202310136082,124
EK202310186665,124
EK202310156519,124
EK202310108430,133
EK202310164930,124
EK202310153971,124
EK202310129412,124
EK202310124383,124
EK202310215858,124
EK202310104131,124
EK202310185040,147
EK202310119251,124
EK202310191724,124
EK202310149922,124
EK202310176193,124
EK202310204311,124
EK202310248324,124
EK202310120496,124
EK202310233548,124
EK202310219178,124
EK202310114723,124
EK202310185832,124
EK202310106587,124
EK202310239252,124
EK202310208710,124
EK202310244056,124
EK202310223702,124
EK202310236969,124
EK202310196070,124
EK202310227710,124
EK202310119702,124
EK202310143351,124
EK202310144967,124
EK202310207097,132
EK202310193281,124
EK202310223068,124
EK202310158743,124
EK202310142353,124
EK202310154024,124
EK202310136326,124
EK202320006526,124
EK202310240160,124
EK202310230270,124
EK202310209591,124
EK202310201937,124
EK202310138686,124
EK202310125946,124
EK202310112949,124
EK202310128660,124
EK202310223565,124
EK202310155372,124
EK202310229467,124
EK202310232289,124
EK202310142439,124
EK202310128595,124
EK202310228661,124
EK202310220811,124
EK202310104677,124
EK202310108708,124
EK202310235044,124
EK202310141363,124
EK202310174855,124
EK202310154755,124
EK202310157326,124
EK202310228659,124
EK202310215026,124
EK202310177129,124
EK202310178830,124
EK202310222959,124
EK202320007347,124
EK202310153807,124
EK202310165563,132
EK202310240070,124
EK202310171642,124
EK202310221419,124
EK202310210258,124
EK202310108225,124
EK202310156515,124
EK202320006021,124
EK202310214746,124
EK202310166648,124
EK202310243041,124
EK202310227731,124
EK202310118513,124
EK202310240129,124
EK202310140813,124
EK202310181628,124
EK202310126085,124
EK202310246101,124
EK202310113312,124
EK202310217968,124
EK202310213114,124
EK202310219800,124
EK202310184495,124
EK202310119316,124
EK202310180007,124
EK202310199156,124
EK202310177234,124
EK202310226743,124
EK202310189141,124
EK202320006005,124
EK202310227823,124
EK202310174022,124
EK202310134374,124
EK202310200180,124
EK202310161433,124
EK202310121700,124
EK202310237451,124
EK202310192827,124
EK202310160428,124
EK202310205223,124
EK202310111659,124
EK202310218773,124
EK202310161247,124
EK202310109618,124
EK202310155619,124
EK202310135096,128
EK202310188704,124
EK202310198311,124
EK202310138345,124
EK202310187653,124
EK202310223676,124
EK202310165688,124
EK202310104779,124
EK202320007241,124
EK202310247012,124
EK202310115649,124
EK202310158687,124
EK202310139898,124
EK202310183012,132
EK202310189323,124
EK202310236084,124
EK202310187745,124
EK202310213754,124
EK202310207691,124
EK202310213360,124
EK202310134511,124
EK202310162421,124
EK202310137854,124
EK202310150901,124
EK202310114810,124
EK202310110564,124
EK202310188498,124
EK202310122137,124
EK202310234827,124
EK202310123845,124
EK202310117679,124
EK202310226733,124
EK202310146806,124
EK202310186532,124
EK202310198523,124
EK202310169242,124
EK202310189605,124
EK202310177460,124
EK202310156053,124
